Route Name,Route Link,Bus Name,Bus Type,Bus Rating,Departure Time,Arrival Time,Duration,Available Seats,Price
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Semi Sleeper (2+2),4.3,18:50,03:45,08h 55m,36 Seats available,1899
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),4.3,19:00,01:25,06h 25m,"41 Seats available
20 Window",869
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),2.3,20:30,02:40,06h 10m,30 Seats available,540
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,G.T.SHolidays,Bharat Benz A/C Semi Sleeper (2+2),2.4,18:30,02:00,07h 30m,"41 Seats available
20 Window",899
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,ABHI TRAVELS,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),4.1,18:00,01:00,07h 00m,33 Seats available,854
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Holiday Appeal Private Limited,Scania Multi-Axle AC Semi Sleeper (2+2),4.1,18:00,02:00,08h 00m,53 Seats available,1044
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Holiday Appeal Private Limited,Scania Multi-Axle AC Semi Sleeper (2+2),4.1,19:00,03:00,08h 00m,48 Seats available,854
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Holiday Appeal Private Limited,Scania Multi-Axle AC Semi Sleeper (2+2),2.2,18:00,02:00,08h 00m,53 Seats available,INR 699
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Himgiri Adventure Tour,Bharat Benz A/C Semi Sleeper (2+2),4.0,18:00,02:30,08h 30m,"29 Seats available
14 Window",719
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Rao Travel Heights,Volvo A/C Semi Sleeper (2+2),4.0,19:00,00:50,05h 50m,"41 Seats available
20 Window",INR 1649
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Rao Travel Heights,Volvo A/C Semi Sleeper (2+2),3.9,18:30,02:45,08h 15m,"41 Seats available
20 Window",INR 1649
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Reo India Travels,Volvo A/C Semi Sleeper (2+2),3.9,21:00,03:34,06h 34m,"21 Seats available
10 Window",567
